Rv1603	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase(hisA)
GOTERM_MF_DIRECT	460001672$GO:0008270~zinc ion binding,460002935$GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,460004570$GO:0035595~N-acetylglucosaminylinositol deacetylase activity,
INTERPRO	530003054$IPR003737:N-acetylglucosaminyl phosphatidylinositol deacetylase,530015006$IPR017810:Mycothiol biosynthesis protein, MshB,530020418$IPR024078:Putative deacetylase LmbE-like domain,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000516$Hydrolase,870000691$Metal-binding,870000928$Reference proteome,870001206$Zinc,

Rv1483	3-oxoacyl-ACP reductase FabG(fabG1)
GOTERM_BP_DIRECT	300009509$GO:0046459~short-chain fatty acid metabolic process,300011127$GO:0055114~oxidation-reduction process,300012967$GO:0071768~mycolic acid biosynthetic process,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000694$GO:0004316~3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,460002784$GO:0016491~oxidoreductase activity,460003135$GO:0018454~acetoacetyl-CoA reductase activity,460007300$GO:0102132~3-oxo-pimeloyl-[acp] methyl ester reductase activity,
INTERPRO	530001946$IPR002347:Glucose/ribitol dehydrogenase,530013409$IPR016040:NAD(P)-binding domain,530017536$IPR020904:Short-chain dehydrogenase/reductase, conserved site,
UP_KEYWORDS	870000010$3D-structure,870000030$Acetylation,870000251$Complete proteome,870000377$Fatty acid biosynthesis,870000378$Fatty acid metabolism,870000653$Lipid biosynthesis,870000656$Lipid metabolism,870000754$NADP,870000802$Oxidoreductase,870000928$Reference proteome,
UP_SEQ_FEATURE	880000109$active site:Proton acceptor,880000510$binding site:Substrate,880001276$chain:3-oxoacyl-[acyl-carrier-protein] reductase,880079268$helix,880079690$nucleotide phosphate-binding region:NADP,880089040$strand,880089085$turn,

Rv0700	30S ribosomal protein S10(rpsJ)
GOTERM_BP_DIRECT	300001535$GO:0006412~translation,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000373$GO:0005840~ribosome,380000407$GO:0005886~plasma membrane,380000659$GO:0015935~small ribosomal subunit,
GOTERM_MF_DIRECT	460000015$GO:0000049~tRNA binding,460000359$GO:0003735~structural constituent of ribosome,
INTERPRO	530001527$IPR001848:Ribosomal protein S10,530015366$IPR018268:Ribosomal protein S10, conserved site,530023315$IPR027486:Ribosomal protein S10 domain,
KEGG_PATHWAY	550042012$mtu03010:Ribosome,
SMART	790001250$SM01403:SM01403,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000947$Ribonucleoprotein,870000949$Ribosomal protein,
UP_SEQ_FEATURE	880001314$chain:30S ribosomal protein S10,

Rv2589	4-aminobutyrate aminotransferase(gabT)
GOTERM_BP_DIRECT	300002778$GO:0009448~gamma-aminobutyric acid metabolic process,300002780$GO:0009450~gamma-aminobutyric acid catabolic process,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000416$GO:0003867~4-aminobutyrate transaminase activity,460003550$GO:0030170~pyridoxal phosphate binding,460004822$GO:0042802~identical protein binding,460005501$GO:0047298~(S)-3-amino-2-methylpropionate transaminase activity,
INTERPRO	530003848$IPR004632:4-aminobutyrate aminotransferase, bacterial,530004923$IPR005814:Aminotransferase class-III,530013059$IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,530013060$IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,530013062$IPR015424:Pyridoxal phosphate-dependent transferase,
KEGG_PATHWAY	550041922$mtu00250:Alanine, aspartate and glutamate metabolism,550041926$mtu00280:Valine, leucine and isoleucine degradation,550041943$mtu00410:beta-Alanine metabolism,550041972$mtu00640:Propanoate metabolism,550041975$mtu00650:Butanoate metabolism,550041998$mtu01100:Metabolic pathways,
UP_KEYWORDS	870000063$Aminotransferase,870000251$Complete proteome,870000912$Pyridoxal phosphate,870000928$Reference proteome,870001085$Transferase,
UP_SEQ_FEATURE	880001568$chain:4-aminobutyrate aminotransferase,880079642$modified residue,

Rv0714	50S ribosomal protein L14(rplN)
GOTERM_BP_DIRECT	300001535$GO:0006412~translation,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000658$GO:0015934~large ribosomal subunit,380000789$GO:0022625~cytosolic large ribosomal subunit,
GOTERM_MF_DIRECT	460000359$GO:0003735~structural constituent of ribosome,460003447$GO:0019843~rRNA binding,460006803$GO:0070180~large ribosomal subunit rRNA binding,
INTERPRO	530000169$IPR000218:Ribosomal protein L14b/L23e,530004861$IPR005745:Ribosomal protein L14, bacterial-type,530016827$IPR019972:Ribosomal protein L14 conserved site,
KEGG_PATHWAY	550042012$mtu03010:Ribosome,
SMART	790001222$SM01374:SM01374,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000947$Ribonucleoprotein,870000949$Ribosomal protein,870000954$RNA-binding,870000960$rRNA-binding,
UP_SEQ_FEATURE	880001945$chain:50S ribosomal protein L14,

Rv2667	ATP-dependent protease ATP-binding subunit ClpC(clpC2)
COG_ONTOLOGY	120000095$Posttranslational modification, protein turnover, chaperones,
GOTERM_BP_DIRECT	300004659$GO:0019538~protein metabolic process,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,
INTERPRO	530003440$IPR004176:Clp, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063735$chain:Uncharacterized protein Rv2667/MT2741,

Rv2642	ArsR family transcriptional regulator(Rv2642)
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300001494$GO:0006355~regulation of transcription, DNA-templated,300009632$GO:0046688~response to copper ion,
GOTERM_CC_DIRECT	380000223$GO:0005622~intracellular,
GOTERM_MF_DIRECT	460000343$GO:0003700~transcription factor activity, sequence-specific DNA binding,460005109$GO:0044212~transcription regulatory region DNA binding,
INTERPRO	530001524$IPR001845:HTH ArsR-type DNA-binding domain,530010248$IPR011991:Winged helix-turn-helix DNA-binding domain,530015424$IPR018334:ArsR-type transcription regulator, HTH motif,
SMART	790000354$SM00418:HTH_ARSR,
UP_KEYWORDS	870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870001077$Transcription,870001079$Transcription regulation,

Rv1822	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase(pgsA2)
GOTERM_BP_DIRECT	300001728$GO:0006655~phosphatidylglycerol biosynthetic process,300002586$GO:0008654~phospholipid biosynthetic process,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460001749$GO:0008444~CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity,
INTERPRO	530000363$IPR000462:CDP-alcohol phosphatidyltransferase,530003792$IPR004570:CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,
KEGG_PATHWAY	550041959$mtu00564:Glycerophospholipid metabolism,550041998$mtu01100:Metabolic pathways,
PIR_SUPERFAMILY	700000305$PIRSF000847:CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000653$Lipid biosynthesis,870000656$Lipid metabolism,870000683$Membrane,870000836$Phospholipid biosynthesis,870000838$Phospholipid metabolism,870000928$Reference proteome,870001085$Transferase,870001092$Transmembrane,870001094$Transmembrane helix,
UP_SEQ_FEATURE	880041730$chain:Putative CDP-diacylglycerol--glycerol-3- phosphate 3-phosphatidyl-transferase,880089084$transmembrane region,

Rv0002	DNA polymerase III subunit beta(dnaN)
GOTERM_BP_DIRECT	300001427$GO:0006260~DNA replication,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000220$GO:0005618~cell wall,380000294$GO:0005737~cytoplasm,380000537$GO:0009360~DNA polymerase III complex,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460000435$GO:0003887~DNA-directed DNA polymerase activity,460001723$GO:0008408~3'-5' exonuclease activity,
INTERPRO	530000818$IPR001001:DNA polymerase III, beta chain,530019164$IPR022634:DNA polymerase III, beta chain, N-terminal,530019165$IPR022635:DNA polymerase III, beta chain, C-terminal,530019167$IPR022637:DNA polymerase III, beta chain, central,
KEGG_PATHWAY	550041920$mtu00230:Purine metabolism,550041921$mtu00240:Pyrimidine metabolism,550041998$mtu01100:Metabolic pathways,550042015$mtu03030:DNA replication,550042021$mtu03430:Mismatch repair,550042022$mtu03440:Homologous recombination,
PIR_SUPERFAMILY	700000288$PIRSF000804:DNA polymerase III, beta subunit,
SMART	790000415$SM00480:POL3Bc,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000288$Cytoplasm,870000328$DNA replication,870000332$DNA-directed DNA polymerase,870000787$Nucleotidyltransferase,870000928$Reference proteome,870001085$Transferase,
UP_SEQ_FEATURE	880012775$chain:DNA polymerase III subunit beta,880087857$sequence conflict,

Rv0500A	DNA-binding protein(Rv0500A)
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,
INTERPRO	530007738$IPR009061:DNA binding domain, putative,530008654$IPR010093:Excisionase/Xis, DNA-binding,
UP_KEYWORDS	870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,

Rv0667	DNA-directed RNA polymerase subunit beta(rpoB)
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300007714$GO:0040007~growth,300009625$GO:0046677~response to antibiotic,
GOTERM_CC_DIRECT	380000073$GO:0000428~DNA-directed RNA polymerase complex,380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460000437$GO:0003899~DNA-directed RNA polymerase activity,460003980$GO:0032549~ribonucleoside binding,
INTERPRO	530006070$IPR007120:DNA-directed RNA polymerase, subunit 2, domain 6,530006071$IPR007121:RNA polymerase, beta subunit, conserved site,530006543$IPR007641:RNA polymerase Rpb2, domain 7,530006544$IPR007642:RNA polymerase Rpb2, domain 2,530006546$IPR007644:RNA polymerase, beta subunit, protrusion,530006547$IPR007645:RNA polymerase Rpb2, domain 3,530008795$IPR010243:DNA-directed RNA polymerase, beta subunit,530012418$IPR014724:RNA polymerase Rpb2, OB-fold,530013198$IPR015712:DNA-directed RNA polymerase, subunit 2,530016370$IPR019462:DNA-directed RNA polymerase, beta subunit, external 1 domain,
KEGG_PATHWAY	550041920$mtu00230:Purine metabolism,550041921$mtu00240:Pyrimidine metabolism,550041998$mtu01100:Metabolic pathways,550042014$mtu03020:RNA polymerase,
UP_KEYWORDS	870000010$3D-structure,870000077$Antibiotic resistance,870000251$Complete proteome,870000333$DNA-directed RNA polymerase,870000787$Nucleotidyltransferase,870000928$Reference proteome,870001077$Transcription,870001085$Transferase,
UP_SEQ_FEATURE	880013179$chain:DNA-directed RNA polymerase subunit beta,880087857$sequence conflict,880087858$sequence variant,

Rv2069	ECF RNA polymerase sigma factor SigC(sigC)
GOTERM_BP_DIRECT	300000360$GO:0001666~response to hypoxia,300001491$GO:0006352~DNA-templated transcription, initiation,300001494$GO:0006355~regulation of transcription, DNA-templated,300002753$GO:0009405~pathogenesis,300002755$GO:0009408~response to heat,300002757$GO:0009410~response to xenobiotic stimulus,300002761$GO:0009415~response to water,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460000343$GO:0003700~transcription factor activity, sequence-specific DNA binding,460003024$GO:0016987~sigma factor activity,
INTERPRO	530000683$IPR000838:RNA polymerase sigma factor 70, ECF, conserved site,530006530$IPR007627:RNA polymerase sigma-70 region 2,530010248$IPR011991:Winged helix-turn-helix DNA-binding domain,530011202$IPR013249:RNA polymerase sigma factor 70, region 4 type 2,530011269$IPR013324:RNA polymerase sigma factor, region 3/4,530011270$IPR013325:RNA polymerase sigma factor, region 2,530012136$IPR014284:RNA polymerase sigma-70 like domain,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870000991$Sigma factor,870001077$Transcription,870001079$Transcription regulation,
UP_SEQ_FEATURE	880036202$chain:Probable RNA polymerase sigma-C factor,880076426$DNA-binding region:H-T-H motif,880079268$helix,880088206$short sequence motif:Polymerase core binding,880089085$turn,

Rv1221	ECF RNA polymerase sigma factor SigE(sigE)
GOTERM_BP_DIRECT	300001491$GO:0006352~DNA-templated transcription, initiation,300002753$GO:0009405~pathogenesis,300002755$GO:0009408~response to heat,300002757$GO:0009410~response to xenobiotic stimulus,300008025$GO:0042542~response to hydrogen peroxide,300008619$GO:0044119~growth of symbiont in host cell,300011047$GO:0052572~response to host immune response,300013598$GO:0090034~regulation of chaperone-mediated protein complex assembly,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460000343$GO:0003700~transcription factor activity, sequence-specific DNA binding,460003024$GO:0016987~sigma factor activity,
INTERPRO	530006530$IPR007627:RNA polymerase sigma-70 region 2,530010248$IPR011991:Winged helix-turn-helix DNA-binding domain,530011202$IPR013249:RNA polymerase sigma factor 70, region 4 type 2,530011269$IPR013324:RNA polymerase sigma factor, region 3/4,530011270$IPR013325:RNA polymerase sigma factor, region 2,530012136$IPR014284:RNA polymerase sigma-70 like domain,
UP_KEYWORDS	870000054$Alternative promoter usage,870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870000991$Sigma factor,870001077$Transcription,870001079$Transcription regulation,

Rv3911	ECF RNA polymerase sigma factor SigM(sigM)
GOTERM_BP_DIRECT	300001491$GO:0006352~DNA-templated transcription, initiation,300002757$GO:0009410~response to xenobiotic stimulus,300002761$GO:0009415~response to water,300009244$GO:0045893~positive regulation of transcription, DNA-templated,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460000343$GO:0003700~transcription factor activity, sequence-specific DNA binding,460003024$GO:0016987~sigma factor activity,
INTERPRO	530006530$IPR007627:RNA polymerase sigma-70 region 2,530010248$IPR011991:Winged helix-turn-helix DNA-binding domain,530011202$IPR013249:RNA polymerase sigma factor 70, region 4 type 2,530011269$IPR013324:RNA polymerase sigma factor, region 3/4,530011270$IPR013325:RNA polymerase sigma factor, region 2,530012136$IPR014284:RNA polymerase sigma-70 like domain,
UP_KEYWORDS	870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870000991$Sigma factor,870001077$Transcription,870001079$Transcription regulation,

Rv3871	ESX-1 secretion system protein EccCb(eccCb1)
GOTERM_BP_DIRECT	300002753$GO:0009405~pathogenesis,300008136$GO:0042783~active evasion of host immune response,300008618$GO:0044117~growth of symbiont in host,300008671$GO:0044315~protein secretion by the type VII secretion system,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000294$GO:0005737~cytoplasm,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460001536$GO:0005524~ATP binding,
INTERPRO	530002100$IPR002543:Cell division protein FtsK/SpoIIIE,530002940$IPR003593:AAA+ ATPase domain,530020204$IPR023837:Type VII secretion system EccCb,530023254$IPR027417:P-loop containing nucleoside triphosphate hydrolase,
SMART	790000325$SM00382:AAA,
UP_KEYWORDS	870000104$ATP-binding,870000251$Complete proteome,870000288$Cytoplasm,870000786$Nucleotide-binding,870000928$Reference proteome,870000935$Repeat,

Rv3448	ESX-4 secretion system protein EccD4(eccD4)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530005715$IPR006707:Type VII secretion system membrane protein EccD,530021158$IPR024962:YukD-like,
PIR_SUPERFAMILY	700001712$PIRSF017804:secretion system protein, EccD1 type,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv1782	ESX-5 type VII secretion system protein EccB5(eccB5)
GOTERM_BP_DIRECT	300001846$GO:0006810~transport,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530006686$IPR007795:Type VII secretion system EccB,
UP_KEYWORDS	870000104$ATP-binding,870000188$Cell inner membrane,870000190$Cell membrane,870000251$Complete proteome,870000319$Disulfide bond,870000516$Hydrolase,870000683$Membrane,870000786$Nucleotide-binding,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,870001103$Transport,

Rv1795	ESX-5 type VII secretion system protein EccD(eccD5)
GOTERM_BP_DIRECT	300001846$GO:0006810~transport,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530005715$IPR006707:Type VII secretion system membrane protein EccD,530021158$IPR024962:YukD-like,
PIR_SUPERFAMILY	700001712$PIRSF017804:secretion system protein, EccD1 type,
UP_KEYWORDS	870000188$Cell inner membrane,870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,870001103$Transport,

Rv1173	FO synthase(fbiC)
GOTERM_BP_DIRECT	300002632$GO:0009108~coenzyme biosynthetic process,300010717$GO:0051409~response to nitrosative stress,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460002907$GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups,460005143$GO:0044689~7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase activity,460005313$GO:0046872~metal ion binding,460006372$GO:0051539~4 iron, 4 sulfur cluster binding,
INTERPRO	530005662$IPR006638:Elongator protein 3/MiaB/NifB,530006140$IPR007197:Radical SAM,530011680$IPR013785:Aldolase-type TIM barrel,530016795$IPR019939:CofG family,530016796$IPR019940:CofH family,530016896$IPR020050:FO synthase, subunit 2,
SMART	790000624$SM00729:Elp3,
UP_KEYWORDS	870000013$4Fe-4S,870000251$Complete proteome,870000604$Iron,870000607$Iron-sulfur,870000691$Metal-binding,870000928$Reference proteome,870000963$S-adenosyl-L-methionine,870001085$Transferase,
UP_SEQ_FEATURE	880016365$chain:FO synthase,880079471$metal ion-binding site:Iron-sulfur (4Fe-4S-S-AdoMet),

Rv3044	FeIII-dicitrate-binding periplasmic lipoprotein(fecB)
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000407$GO:0005886~plasma membrane,
INTERPRO	530002054$IPR002491:ABC transporter periplasmic binding domain,
KEGG_PATHWAY	550042010$mtu02010:ABC transporters,
UP_KEYWORDS	870000251$Complete proteome,870000660$Lipoprotein,870000928$Reference proteome,870000992$Signal,

Rv3789	GtrA family protein(Rv3789)
GOTERM_BP_DIRECT	300000087$GO:0000271~polysaccharide biosynthetic process,300001846$GO:0006810~transport,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530006208$IPR007267:GtrA-like protein,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,
UP_SEQ_FEATURE	880063783$chain:Uncharacterized protein Rv3789/MT3897,880089084$transmembrane region,

Rv3744	HTH-type transcriptional regulator NmtR(nmtR)
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300004498$GO:0019217~regulation of fatty acid metabolic process,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460000343$GO:0003700~transcription factor activity, sequence-specific DNA binding,460005313$GO:0046872~metal ion binding,
INTERPRO	530001524$IPR001845:HTH ArsR-type DNA-binding domain,530010248$IPR011991:Winged helix-turn-helix DNA-binding domain,
SMART	790000354$SM00418:HTH_ARSR,
UP_KEYWORDS	870000251$Complete proteome,870000331$DNA-binding,870000691$Metal-binding,870000769$Nickel,870000928$Reference proteome,870000937$Repressor,870001077$Transcription,870001079$Transcription regulation,

Rv0081	HTH-type transcriptional regulator(Rv0081)
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300001494$GO:0006355~regulation of transcription, DNA-templated,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460000343$GO:0003700~transcription factor activity, sequence-specific DNA binding,460005109$GO:0044212~transcription regulatory region DNA binding,
INTERPRO	530001524$IPR001845:HTH ArsR-type DNA-binding domain,530010248$IPR011991:Winged helix-turn-helix DNA-binding domain,
SMART	790000354$SM00418:HTH_ARSR,
UP_KEYWORDS	870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870001077$Transcription,870001079$Transcription regulation,

Rv0196	HTH-type transcriptional regulator(Rv0196)
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300001494$GO:0006355~regulation of transcription, DNA-templated,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,
INTERPRO	530001362$IPR001647:DNA-binding HTH domain, TetR-type,530007736$IPR009057:Homeodomain-like,530009503$IPR011075:Tetracycline transcriptional regulator, TetR-related, C-terminal,530013309$IPR015893:Tetracycline transcriptional regulator, TetR-like, C-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870001077$Transcription,870001079$Transcription regulation,
UP_SEQ_FEATURE	880057076$chain:Uncharacterized HTH-type transcriptional regulator Rv0196/MT0206,880076426$DNA-binding region:H-T-H motif,880077650$domain:HTH tetR-type,

Rv3855	HTH-type transcriptional repressor EthR(ethR)
COG_ONTOLOGY	120000115$Transcription,
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300001494$GO:0006355~regulation of transcription, DNA-templated,300009243$GO:0045892~negative regulation of transcription, DNA-templated,300009625$GO:0046677~response to antibiotic,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,
GOTERM_MF_DIRECT	460000106$GO:0000976~transcription regulatory region sequence-specific DNA binding,460000330$GO:0003677~DNA binding,460000343$GO:0003700~transcription factor activity, sequence-specific DNA binding,
INTERPRO	530001362$IPR001647:DNA-binding HTH domain, TetR-type,530007736$IPR009057:Homeodomain-like,530009503$IPR011075:Tetracycline transcriptional regulator, TetR-related, C-terminal,530013309$IPR015893:Tetracycline transcriptional regulator, TetR-like, C-terminal,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870000937$Repressor,870001077$Transcription,870001079$Transcription regulation,

Rv2780	L-alanine dehydrogenase(ald)
GOTERM_BP_DIRECT	300000360$GO:0001666~response to hypoxia,300001613$GO:0006524~alanine catabolic process,300008166$GO:0042853~L-alanine catabolic process,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000031$GO:0000166~nucleotide binding,460000057$GO:0000286~alanine dehydrogenase activity,460005313$GO:0046872~metal ion binding,
INTERPRO	530006595$IPR007698:Alanine dehydrogenase/PNT, NAD(H)-binding domain,530006770$IPR007886:Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal,530006993$IPR008141:Alanine dehydrogenase/pyridine nucleotide transhydrogenase,530006994$IPR008142:Alanine dehydrogenase/pyridine nucleotide transhydrogenase, conserved site-1,530006995$IPR008143:Alanine dehydrogenase/pyridine nucleotide transhydrogenase, conserved site-2,530013409$IPR016040:NAD(P)-binding domain,
KEGG_PATHWAY	550041922$mtu00250:Alanine, aspartate and glutamate metabolism,550041944$mtu00430:Taurine and hypotaurine metabolism,550041998$mtu01100:Metabolic pathways,
PIR_SUPERFAMILY	700000084$PIRSF000183:alanine dehydrogenase,
SMART	790000885$SM01002:SM01002,790000886$SM01003:SM01003,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000317$Direct protein sequencing,870000670$Magnesium,870000691$Metal-binding,870000753$NAD,870000786$Nucleotide-binding,870000802$Oxidoreductase,870000928$Reference proteome,870000970$Secreted,
UP_SEQ_FEATURE	880003673$chain:Alanine dehydrogenase,880079268$helix,880079685$nucleotide phosphate-binding region:NAD,880087857$sequence conflict,880089040$strand,880089085$turn,

Rv1877	MFS-type transporter(Rv1877)
GOTERM_BP_DIRECT	300011111$GO:0055085~transmembrane transport,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460001387$GO:0005215~transporter activity,
INTERPRO	530001622$IPR001958:Tetracycline resistance protein, TetA/multidrug resistance protein MdtG,530004936$IPR005829:Sugar transporter, conserved site,530009980$IPR011701:Major facilitator superfamily,530010248$IPR011991:Winged helix-turn-helix DNA-binding domain,530017485$IPR020846:Major facilitator superfamily domain,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,870001103$Transport,
UP_SEQ_FEATURE	880057867$chain:Uncharacterized MFS-type transporter Rv1877/MT1926,880089084$transmembrane region,

Rv0589	Mce family protein Mce2A(mce2A)
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
INTERPRO	530002773$IPR003399:Mammalian cell entry-related,530004812$IPR005693:Mammalian cell entry,530020800$IPR024516:Mammalian cell entry, C-terminal,
KEGG_PATHWAY	550042010$mtu02010:ABC transporters,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv3334	MerR family transcriptional regulator(Rv3334)
